PersonId,FullName,OrganizationName,JobTitle,WorkLocation,Email
P001,藤井 大輔,デジタルソリューション本部 データ&AI部,プリンシパル,仙台,fujii.daisuke001@contoso-sier.example.com
P002,石井 駿,デジタルソリューション本部 データ&AI部,アソシエイト,東京,ishii.shun002@contoso-sier.example.com
P003,加藤 詩織,デジタルソリューション本部 クラウド基盤部,コンサルタント,大阪,kato.shiori003@contoso-sier.example.com
P004,山田 楓,金融システム事業部 銀行ソリューション部,シニアマネージャー,福岡,yamada.kaede004@contoso-sier.example.com
P005,坂本 俊介,コンサルティング統括部 DX戦略室,シニアコンサルタント,福岡,sakamoto.shunsuke005@contoso-sier.example.com
P006,西村 圭吾,デジタルソリューション本部 データ&AI部,シニアコンサルタント,名古屋,nishimura.keigo006@contoso-sier.example.com
P007,高橋 楓,デジタルソリューション本部 データ&AI部,マネージャー,札幌,takahashi.kaede007@contoso-sier.example.com
P008,池田 涼介,金融システム事業部 銀行ソリューション部,マネージャー,東京,ikeda.ryosuke008@contoso-sier.example.com
P009,遠藤 直樹,デジタルソリューション本部 クラウド基盤部,アソシエイト,大阪,endo.naoki009@contoso-sier.example.com
P010,長谷川 奈々,産業システム事業部 製造ソリューション部,アソシエイト,福岡,hasegawa.nana010@contoso-sier.example.com
P011,田中 大輔,金融システム事業部 銀行ソリューション部,コンサルタント,仙台,tanaka.daisuke011@contoso-sier.example.com
P012,近藤 拓也,金融システム事業部 銀行ソリューション部,マネージャー,東京,kondo.takuya012@contoso-sier.example.com
P013,吉田 結衣,コンサルティング統括部 DX戦略室,シニアコンサルタント,東京,yoshida.yui013@contoso-sier.example.com
P014,遠藤 悠斗,産業システム事業部 流通ソリューション部,アソシエイト,福岡,endo.yuto014@contoso-sier.example.com
P015,中村 凛,金融システム事業部 銀行ソリューション部,コンサルタント,福岡,nakamura.rin015@contoso-sier.example.com
P016,加藤 香織,金融システム事業部 銀行ソリューション部,シニアマネージャー,大阪,kato.kaori016@contoso-sier.example.com
P017,山本 遥,産業システム事業部 製造ソリューション部,シニアマネージャー,仙台,yamamoto.haruka017@contoso-sier.example.com
P018,藤田 颯,産業システム事業部 流通ソリューション部,シニアコンサルタント,東京,fujita.hayate018@contoso-sier.example.com
P019,山本 悠斗,金融システム事業部 銀行ソリューション部,アソシエイト,仙台,yamamoto.yuto019@contoso-sier.example.com
P020,松本 麻衣,デジタルソリューション本部 クラウド基盤部,プリンシパル,東京,matsumoto.mai020@contoso-sier.example.com
P021,岡田 大輔,金融システム事業部 銀行ソリューション部,シニアマネージャー,東京,okada.daisuke021@contoso-sier.example.com
P022,長谷川 直樹,デジタルソリューション本部 データ&AI部,シニアコンサルタント,東京,hasegawa.naoki022@contoso-sier.example.com
P023,石川 拓也,コンサルティング統括部 DX戦略室,シニアコンサルタント,札幌,ishikawa.takuya023@contoso-sier.example.com
P024,後藤 奈々,公共システム事業部 自治体ソリューション部,シニアコンサルタント,仙台,goto.nana024@contoso-sier.example.com
P025,遠藤 亮,デジタルソリューション本部 データ&AI部,アソシエイト,仙台,endo.ryo025@contoso-sier.example.com
P026,渡辺 颯,デジタルソリューション本部 クラウド基盤部,シニアコンサルタント,大阪,watanabe.hayate026@contoso-sier.example.com
P027,小林 健太,デジタルソリューション本部 クラウド基盤部,コンサルタント,福岡,kobayashi.kenta027@contoso-sier.example.com
P028,松本 颯,金融システム事業部 銀行ソリューション部,シニアコンサルタント,仙台,matsumoto.hayate028@contoso-sier.example.com
P029,井上 健太,デジタルソリューション本部 データ&AI部,アソシエイト,名古屋,inoue.kenta029@contoso-sier.example.com
P030,小林 結衣,公共システム事業部 自治体ソリューション部,マネージャー,仙台,kobayashi.yui030@contoso-sier.example.com
P031,西村 奈々,公共システム事業部 自治体ソリューション部,シニアコンサルタント,札幌,nishimura.nana031@contoso-sier.example.com
P032,坂本 菜月,デジタルソリューション本部 データ&AI部,シニアコンサルタント,大阪,sakamoto.natsuki032@contoso-sier.example.com
P033,藤田 健太,産業システム事業部 流通ソリューション部,シニアマネージャー,大阪,fujita.kenta033@contoso-sier.example.com
P034,渡辺 涼介,金融システム事業部 銀行ソリューション部,マネージャー,東京,watanabe.ryosuke034@contoso-sier.example.com
P035,坂本 直樹,デジタルソリューション本部 クラウド基盤部,マネージャー,札幌,sakamoto.naoki035@contoso-sier.example.com
